pid,nameZh,nameJp,nameEn,type,category,power,accuracy,PP,description
64,啄,つつく,Peck,飛行,物理,35,100,35,用尖銳的喙或角刺向對手進行攻擊。
65,啄鑽,ドリルくちばし,Drill Peck,飛行,物理,80,100,20,一邊旋轉，一邊將尖喙刺進對手進行攻擊。
66,地獄翻滾,じごくぐるま,Submission,格鬥,物理,-999,-999,-999,將對手連同自己一起摔向地面進行攻擊。自己也會受到少許傷害。
67,踢倒,けたぐり,Low Kick,格鬥,物理,-1,100,20,用力踢對手的腳，讓對手摔倒進行攻擊。對手越重，威力越大。
68,雙倍奉還,カウンター,Counter,格鬥,物理,-1,100,20,將來自對手的物理攻擊傷害加倍後，返還給該對手。
69,地球上投,ちきゅうなげ,Seismic Toss,格鬥,物理,-1,100,20,利用引力將對手甩飛出去。給予對手和自己等級相同的傷害。
70,怪力,かいりき,Strength,一般,物理,80,100,15,使出渾身力量毆打對手進行攻擊。
71,吸取,すいとる,Absorb,草,特殊,20,100,25,吸取對手的養分進行攻擊。可以回復給予對手傷害的一半ＨＰ。
72,超級吸取,メガドレイン,Mega Drain,草,特殊,40,100,15,吸取對手的養分進行攻擊。可以回復給予對手傷害的一半ＨＰ。
73,寄生種子,やどりぎのタネ,Leech Seed,草,變化,0,90,10,在對手身上植入種子，每回合吸取對手少許的ＨＰ，用來回復自己的ＨＰ。
74,生長,せいちょう,Growth,一般,變化,0,0,20,讓身體瞬間長大，提高自己的攻擊和特攻。
75,飛葉快刀,はっぱカッター,Razor Leaf,草,物理,55,95,25,飛射葉子，切斬對手進行攻擊。容易擊中要害。
76,日光束,ソーラービーム,Solar Beam,草,特殊,120,100,10,使用後的第１回合吸收大量日光，並於第２回合發射光束進行攻擊。
77,毒粉,どくのこな,Poison Powder,毒,變化,0,75,35,撒出大量的有毒粉末讓對手陷入中毒狀態。
78,麻痺粉,しびれごな,Stun Spore,草,變化,0,75,30,撒出大量令人麻痺的粉末，讓對手陷入麻痺狀態。
79,催眠粉,ねむりごな,Sleep Powder,草,變化,0,75,15,撒出大量令人想睡的粉末，讓對手陷入睡眠狀態。
80,花瓣舞,はなびらのまい,Petal Dance,草,特殊,120,100,10,在２～３回合內不斷灑出花瓣攻擊對手。招式結束後自己會陷入混亂狀態。
81,吐絲,いとをはく,String Shot,蟲,變化,0,95,40,用口中吐出的絲纏繞對手，大幅降低對手的速度。
82,龍之怒,りゅうのいかり,Dragon Rage,龍,特殊,-999,-999,-999,向對手發射憤怒的衝擊波進行攻擊。固定給予４０的傷害。
83,火焰旋渦,ほのおのうず,Fire Spin,火,特殊,35,85,15,將對手困在熊熊燃燒的火焰旋渦中，在４～５回合內進行攻擊。
84,電擊,でんきショック,Thunder Shock,電,特殊,40,100,30,發出電流刺激對手進行攻擊。有時會讓對手陷入麻痺狀態。
85,十萬伏特,１０まんボルト,Thunderbolt,電,特殊,90,100,15,向對手放出強力電流進行攻擊。有時會讓對手陷入麻痺狀態。
86,電磁波,でんじは,Thunder Wave,電,變化,0,90,20,放出微弱的電流。讓對手陷入麻痺狀態。
87,打雷,かみなり,Thunder,電,特殊,110,70,10,向對手劈下暴雷進行攻擊。有時會讓對手陷入麻痺狀態。
88,落石,いわおとし,Rock Throw,岩石,物理,50,90,15,舉起小岩石，向對手投擲進行攻擊。
89,地震,じしん,Earthquake,地面,物理,100,100,10,用地震的衝擊，攻擊自己周圍所有的寶可夢。
90,地裂,じわれ,Fissure,地面,物理,-1,-1,5,讓對手掉進地面的裂縫中進行攻擊。只要命中就會一擊瀕死。
91,挖洞,あなをほる,Dig,地面,物理,80,100,10,使用後的第１回合潛入地底，並於第２回合攻擊對手。
92,劇毒,どくどく,Toxic,毒,變化,0,90,10,讓對手陷入劇毒狀態。中毒傷害會隨著回合的進行而增加。
93,念力,ねんりき,Confusion,超能力,特殊,50,100,25,向對手發送微弱的念力進行攻擊。有時會使對手混亂。
94,精神強念,サイコキネシス,Psychic,超能力,特殊,90,100,10,向對手發送強大的念力進行攻擊。有時會降低對手的特防。
95,催眠術,さいみんじゅつ,Hypnosis,超能力,變化,0,60,20,施加引發睡意的暗示，讓對手陷入睡眠狀態。
96,瑜伽姿勢,ヨガのポーズ,Meditate,超能力,變化,-999,-999,-999,喚醒身體深處沉睡的力量，提高自己的攻擊。
97,高速移動,こうそくいどう,Agility,超能力,變化,0,0,30,放鬆身體，讓自己變得輕盈以進行高速移動。可大幅提高自己的速度。
98,電光一閃,でんこうせっか,Quick Attack,一般,物理,40,100,30,以迅雷不及掩耳之勢撲向對手。必定能夠發動先制攻擊。
99,憤怒,いかり,Rage,一般,物理,-999,-999,-999,在使用招式後受到攻擊時，會因憤怒的力量而提高自己的攻擊。
100,瞬間移動,テレポート,Teleport,超能力,變化,0,0,20,停止和野生寶可夢戰鬥並逃走。
101,黑夜魔影,ナイトヘッド,Night Shade,幽靈,特殊,-1,100,15,讓對手看見恐怖幻影，給予對手和自己等級相同的傷害。
102,模仿,ものまね,Mimic,一般,變化,0,0,10,在戰鬥期間，將對手最近一次使用的招式變成自己的招式。
103,刺耳聲,いやなおと,Screech,一般,變化,0,85,40,發出令人不由自主想要摀起耳朵的刺耳聲，大幅降低對手的防禦。
104,影子分身,かげぶんしん,Double Team,一般,變化,0,0,15,利用快速移動製造出分身擾亂對手，提高自己的閃避率。
105,自我再生,じこさいせい,Recover,一般,變化,0,0,5,讓全身的細胞獲得再生，回復一半ＨＰ。
106,變硬,かたくなる,Harden,一般,變化,0,0,30,使用全身的力量讓身體硬化，提高自己的防禦。
107,變小,ちいさくなる,Minimize,一般,變化,0,0,10,蜷縮身體使自己顯得很小，大幅提高自己的閃避率。
108,煙幕,えんまく,Smokescreen,一般,變化,0,100,20,向對手噴出煙霧或墨汁等，降低對手的命中率。
109,奇異之光,あやしいひかり,Confuse Ray,幽靈,變化,0,100,10,讓對手看奇怪的光線擾亂對手。使對手混亂。
110,縮入殼中,からにこもる,Withdraw,水,變化,0,0,40,縮入殼中保護身體，提高自己的防禦。
111,變圓,まるくなる,Defense Curl,一般,變化,0,0,40,將身體蜷縮成圓形，提高自己的防禦。
112,屏障,バリアー,Barrier,超能力,變化,-999,-999,-999,製造堅固的屏障，大幅提高自己的防禦。
113,光牆,ひかりのかべ,Light Screen,超能力,變化,0,0,30,利用神奇的屏障，在５回合內減輕來自對手的特殊攻擊傷害。
114,黑霧,くろいきり,Haze,冰,變化,0,0,30,放出黑霧，讓場上全體寶可夢的能力變化回到初始狀態。
115,反射壁,リフレクター,Reflect,超能力,變化,0,0,20,利用神奇的屏障，在５回合內減輕來自對手的物理攻擊傷害。
116,聚氣,きあいだめ,Focus Energy,一般,變化,0,0,30,深呼吸後集中精神。讓自己的攻擊變得容易擊中要害。
117,忍耐,がまん,Bide,一般,物理,-999,-999,-999,在２回合內忍受攻擊，然後將受到的傷害加倍返還給對手。
118,揮指,ゆびをふる,Metronome,一般,變化,0,0,10,揮動手指刺激自己的大腦，從全部的招式中隨機選出１招使出。
119,鸚鵡學舌,オウムがえし,Mirror Move,飛行,變化,-999,-999,-999,模仿對手使用的招式，自己也使用相同招式。
120,自爆,じばく,Self-Destruct,一般,物理,200,100,5,引起爆炸，攻擊自己周圍所有的寶可夢。使用後自己會陷入瀕死。
121,炸蛋,タマゴばくだん,Egg Bomb,一般,物理,-999,-999,-999,向對手用力投擲大大的蛋進行攻擊。
122,舌舔,したでなめる,Lick,幽靈,物理,30,100,30,用長長的舌頭，舔遍對手進行攻擊。有時會讓對手陷入麻痺狀態。
123,濁霧,スモッグ,Smog,毒,特殊,30,70,20,將骯髒的濃霧吹向對手進行攻擊。有時會讓對手陷入中毒狀態。
124,污泥攻擊,ヘドロこうげき,Sludge,毒,特殊,65,100,20,向對手投擲污泥進行攻擊。有時會讓對手陷入中毒狀態。
125,骨棒,ホネこんぼう,Bone Club,地面,物理,-999,-999,-999,用手中的骨頭毆打對手進行攻擊。有時會使對手畏縮。
126,大字爆炎,だいもんじ,Fire Blast,火,特殊,110,85,5,用大字形狀的火焰燒盡對手。有時會讓對手陷入灼傷狀態。
127,攀瀑,たきのぼり,Waterfall,水,物理,80,100,15,以驚人的氣勢撲向對手。有時會讓對手畏縮。
128,貝殼夾擊,からではさむ,Clamp,水,物理,-999,-999,-999,用非常堅固且厚實的貝殼，在４～５回合內夾住對手進行攻擊。
129,高速星星,スピードスター,Swift,一般,特殊,60,0,20,發射星型光線攻擊對手。攻擊必定會命中。
130,火箭頭錘,ロケットずつき,Skull Bash,一般,物理,-999,-999,-999,使用後的第１回合把頭後縮，提高防禦。並於第２回合攻擊對手。
131,尖刺加農炮,とげキャノン,Spike Cannon,一般,物理,-999,-999,-999,向對手發射銳利的針進行攻擊。可連續攻擊２～５次。
132,纏繞,からみつく,Constrict,一般,物理,-999,-999,-999,用觸手或青藤等纏繞對手進行攻擊。有時會降低對手的速度。
133,瞬間失憶,ドわすれ,Amnesia,超能力,變化,0,0,20,將頭腦清空，藉由在一瞬間遺忘某些事大幅提高自己的特防。
134,折彎湯匙,スプーンまげ,Kinesis,超能力,變化,0,80,15,折彎湯匙引起注意，降低對手的命中率。
135,生蛋,タマゴうみ,Soft-Boiled,一般,變化,0,0,5,回復自己最大ＨＰ的一半。
136,飛膝踢,とびひざげり,High Jump Kick,格鬥,物理,130,90,10,跳起後用膝蓋踢擊對手。沒踢中對手時自己會受到傷害。
137,大蛇瞪眼,へびにらみ,Glare,一般,變化,0,100,30,用腹部的花紋使對手心生恐懼，讓對手陷入麻痺狀態。
138,食夢,ゆめくい,Dream Eater,超能力,特殊,100,100,15,吃掉熟睡中對手的夢進行攻擊。可以回復給予對手傷害的一半ＨＰ。
139,毒瓦斯,どくガス,Poison Gas,毒,變化,0,90,40,將毒瓦斯吹到對手的臉上，讓對手陷入中毒狀態。
140,投球,たまなげ,Barrage,一般,物理,-999,-999,-999,向對手投擲球狀物體進行攻擊。可連續攻擊２～５次。
141,吸血,きゅうけつ,Leech Life,蟲,物理,80,100,10,吸取對手的血液進行攻擊。可以回復給予對手傷害的一半ＨＰ。
142,惡魔之吻,あくまのキッス,Lovely Kiss,一般,變化,0,75,10,用恐怖的臉強吻對手。能讓對手陷入睡眠狀態。
143,神鳥猛擊,ゴッドバード,Sky Attack,飛行,物理,140,90,5,在使用後的下一回合進行攻擊。有時會使對手畏縮。且容易擊中要害。
144,變身,へんしん,Transform,一般,變化,0,0,10,變身成對手寶可夢的樣子，能夠使用和對手完全相同的招式。
145,泡沫,あわ,Bubble,水,特殊,-999,-999,-999,將無數的泡泡吹向對手進行攻擊。有時會降低對手的速度。
146,迷昏拳,ピヨピヨパンチ,Dizzy Punch,一般,物理,-999,-999,-999,有節奏地出拳攻擊對手。有時會使對手混亂。
147,蘑菇孢子,キノコのほうし,Spore,草,變化,0,100,15,大把撒出有催眠效果的孢子，讓對手陷入睡眠狀態。
148,閃光,フラッシュ,Flash,一般,變化,-999,-999,-999,放出耀眼的光芒，降低對手的命中率。
149,精神波,サイコウェーブ,Psywave,超能力,特殊,-999,-999,-999,向對手發射神奇的念力波進行攻擊。每次給予的傷害都不同。
150,躍起,はねる,Splash,一般,變化,0,0,40,不攻擊對手，只是蹦蹦跳跳的，什麼事也不會發生……
151,溶化,とける,Acid Armor,毒,變化,0,0,20,藉由細胞的變化讓身體液化，大幅提高自己的防禦。
152,蟹鉗錘,クラブハンマー,Crabhammer,水,物理,100,90,10,用巨大的鉗子敲打對手進行攻擊。容易擊中要害。
153,大爆炸,だいばくはつ,Explosion,一般,物理,250,100,5,引起大爆炸，攻擊自己周圍所有的寶可夢。使用後自己會陷入瀕死。
154,亂抓,みだれひっかき,Fury Swipes,一般,物理,18,80,15,用爪子或鐮刀等向對手進行攻擊。可連續攻擊２～５次。
155,骨頭回力鏢,ホネブーメラン,Bonemerang,地面,物理,50,90,10,向對手投擲手中的骨頭，來回連續２次給予傷害。
156,睡覺,ねむる,Rest,超能力,變化,0,0,5,連續睡２回合。回復自己的全部ＨＰ以及治癒所有異常狀態。
157,岩崩,いわなだれ,Rock Slide,岩石,物理,75,90,10,將大岩石猛烈地砸向對手進行攻擊。有時會讓對手畏縮。
158,必殺門牙,ひっさつまえば,Hyper Fang,一般,物理,-999,-999,-999,用銳利的門牙牢牢咬住對手進行攻擊。有時會使對手畏縮。
159,稜角化,かくばる,Sharpen,一般,變化,-999,-999,-999,增加身體的稜角，變得方方正正，提高自己的攻擊。
160,紋理,テクスチャー,Conversion,一般,變化,0,0,30,將自己的屬性轉換成與已學會的招式中第１個招式相同的屬性。
161,三重攻擊,トライアタック,Tri Attack,一般,特殊,80,100,10,用３種光線進行攻擊。有時會讓對手陷入麻痺、灼傷或冰凍的狀態。
162,憤怒門牙,いかりのまえば,Super Fang,一般,物理,-1,90,10,用銳利的門牙猛烈地咬住對手進行攻擊。對手的ＨＰ將會減半。
163,劈開,きりさく,Slash,一般,物理,70,100,20,用爪子或鐮刀等劈開對手進行攻擊。容易擊中要害。
164,替身,みがわり,Substitute,一般,變化,0,0,10,消耗一些自己的ＨＰ，製造分身。分身將成為自己的替身。
165,掙扎,わるあがき,Struggle,一般,物理,50,0,-1,在自己的ＰＰ耗盡時，努力掙扎攻擊對手。自己也會受到少許傷害。
166,寫生,スケッチ,Sketch,一般,變化,0,0,1,將對手使用的招式變成自己的。寫生在使用１次之後就會消失。
167,三連踢,トリプルキック,Triple Kick,格鬥,物理,10,90,10,連續踢對手３次進行攻擊。每踢中一次，威力就會提高。
168,小偷,どろぼう,Thief,惡,物理,60,100,25,在攻擊的同時偷取道具。當寶可夢自己有攜帶道具時，則無法偷取。
169,蛛網,クモのす,Spider Web,蟲,變化,-999,-999,-999,用黏糊糊的細絲一層一層纏住對手，讓對手不能從戰鬥中逃走。
170,心之眼,こころのめ,Mind Reader,一般,變化,-999,-999,-999,用心感受對手的行動模式，下次攻擊時必定會命中對手。
171,惡夢,あくむ,Nightmare,幽靈,變化,-999,-999,-999,讓處於睡眠狀態的對手作惡夢，每回合減少一部分ＨＰ。
172,火焰輪,かえんぐるま,Flame Wheel,火,物理,60,100,25,用火焰圍繞身體，猛撞對手進行攻擊。有時會讓對手陷入灼傷狀態。
173,打鼾,いびき,Snore,一般,特殊,50,100,15,在自己睡著時，發出噪音進行攻擊。有時會讓對手畏縮。
174,詛咒,のろい,Curse,幽靈,變化,0,0,10,使用詛咒時，幽靈屬性的寶可夢和其他屬性的寶可夢，會獲得不同的招式效果。
175,抓狂,じたばた,Flail,一般,物理,-1,100,15,抓狂般亂打進行攻擊。自己的ＨＰ越少，招式的威力越大。
176,紋理２,テクスチャー２,Conversion 2,一般,變化,0,0,30,改變屬性，讓自己能夠抵抗對手最近一次使出的招式。
177,氣旋攻擊,エアロブラスト,Aeroblast,飛行,特殊,100,95,5,向對手發射空氣漩渦進行攻擊。容易擊中要害。
178,棉孢子,わたほうし,Cotton Spore,草,變化,0,100,40,將棉花般柔軟的孢子纏繞對手，大幅降低對手的速度。
179,起死回生,きしかいせい,Reversal,格鬥,物理,-1,100,15,竭盡全力進行攻擊。自己的ＨＰ越少，招式的威力越大。
180,怨恨,うらみ,Spite,幽靈,變化,0,100,10,向對手最近一次使用的招式發出怨念，讓該招式減少４ＰＰ。
181,細雪,こなゆき,Powder Snow,冰,特殊,40,100,25,將冰冷的細雪吹向對手進行攻擊。有時會讓對手陷入冰凍狀態。
182,守住,まもる,Protect,一般,變化,0,0,10,完全防住對手的所有攻擊。連續使用時容易失敗。
183,音速拳,マッハパンチ,Mach Punch,格鬥,物理,40,100,30,以迅雷不及掩耳之勢出拳。必定能夠發動先制攻擊。
184,鬼面,こわいかお,Scary Face,一般,變化,0,100,10,用恐怖的表情瞪著對手，讓對手害怕，大幅降低對手的速度。
185,出奇一擊,だましうち,Feint Attack,惡,物理,-999,-999,-999,若無其事地靠近對手，出其不意地進行攻擊。攻擊必定會命中。
186,天使之吻,てんしのキッス,Sweet Kiss,妖精,變化,0,75,10,像天使般可愛地親吻對手，進而使對手混亂。
187,腹鼓,はらだいこ,Belly Drum,一般,變化,0,0,10,將現有的ＨＰ減去最大ＨＰ的一半，讓自己的攻擊提高至最大值。
188,污泥炸彈,ヘドロばくだん,Sludge Bomb,毒,特殊,90,100,10,向對手投擲污泥進行攻擊。有時會讓對手陷入中毒狀態。
189,擲泥,どろかけ,Mud-Slap,地面,特殊,20,100,10,向對手的臉等處投擲泥巴進行攻擊。可降低對手的命中率。
190,章魚桶炮,オクタンほう,Octazooka,水,特殊,65,85,10,向對手的臉等噴出墨汁進行攻擊。有時會降低對手的命中率。
191,撒菱,まきびし,Spikes,地面,變化,0,0,20,將撒菱散布在對手的腳下。讓對手替換出場的寶可夢受到傷害。
192,電磁炮,でんじほう,Zap Cannon,電,特殊,120,50,5,發射如大炮般的電流進行攻擊。能讓對手陷入麻痺狀態。
193,識破,みやぶる,Foresight,一般,變化,-999,-999,-999,讓對幽靈屬性寶可夢無效的招式能夠發揮效果，也可不顧對手提高後的閃避率進行攻擊。
194,同命,みちづれ,Destiny Bond,幽靈,變化,0,0,5,使出招式後，當受到對手攻擊陷入瀕死時，對手也會一同陷入瀕死。連續使用時會失敗。
195,滅亡之歌,ほろびのうた,Perish Song,一般,變化,0,0,5,聽了歌聲的寶可夢３回合後將陷入瀕死。替換寶可夢後效果就會消失。
196,冰凍之風,こごえるかぜ,Icy Wind,冰,特殊,55,95,15,將冰冷的寒氣吹向對手進行攻擊。可降低對手的速度。
197,看穿,みきり,Detect,格鬥,變化,0,0,5,完全防住對手的所有攻擊。連續使用時容易失敗。
198,骨棒亂打,ボーンラッシュ,Bone Rush,地面,物理,25,90,10,用堅硬的骨頭毆打對手進行攻擊。連續攻擊２～５次。
199,鎖定,ロックオン,Lock-On,一般,變化,0,0,5,精確地瞄準，下次攻擊時一定會命中對手。
200,逆鱗,げきりん,Outrage,龍,物理,120,100,10,在２～３回合內瘋狂亂打對手進行攻擊。大鬧一番後自己會陷入混亂。
201,沙暴,すなあらし,Sandstorm,岩石,變化,0,0,10,揚起沙暴，在５回合內給予岩石、地面和鋼屬性以外的寶可夢傷害。岩石屬性寶可夢的特防會提高。
202,終極吸取,ギガドレイン,Giga Drain,草,特殊,75,100,10,吸取對手的養分進行攻擊。可以回復給予對手傷害的一半ＨＰ。
203,挺住,こらえる,Endure,一般,變化,0,0,10,即使受到再強烈的攻擊，也一定會剩下１ＨＰ。連續使用時容易失敗。
204,撒嬌,あまえる,Charm,妖精,變化,0,100,20,用撒嬌的眼神誘使對手疏忽大意，大幅降低對手的攻擊。
205,滾動,ころがる,Rollout,岩石,物理,30,90,20,在５回合內連續滾動攻擊對手。每擊中一次，威力就會提高。
206,點到為止,みねうち,False Swipe,一般,物理,40,100,40,手下留情地攻擊對手，一定會讓對手剩下１ＨＰ。
207,虛張聲勢,いばる,Swagger,一般,變化,0,85,15,讓對手火大並陷入混亂。但對手的攻擊會因憤怒而大幅提高。
208,喝牛奶,ミルクのみ,Milk Drink,一般,變化,0,0,5,回復自己最大ＨＰ的一半。
209,電光,スパーク,Spark,電,物理,65,100,20,用電流圍繞身體，猛撞對手進行攻擊。有時會讓對手陷入麻痺狀態。
210,連斬,れんぞくぎり,Fury Cutter,蟲,物理,40,95,20,用鐮刀或爪子等斬切對手進行攻擊。連續命中時威力會提高。
211,鋼翼,はがねのつばさ,Steel Wing,鋼,物理,70,90,25,用堅硬的翅膀撞擊對手進行攻擊。有時會提高自己的防禦。
212,黑色目光,くろいまなざし,Mean Look,一般,變化,0,0,5,用漆黑深邃的眼神一動也不動地凝視對手，讓對手無法從戰鬥中逃走。
